"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed"
"Chief Executive",NA,NA,10,"prose","In the 1970s, a medium-sized American company, the Nashua Corporation, was an agent for copying machines made by Ricoh, the well-known Japanese manufacturer. In | Let me emphasise even further Deming’s concentration on the importance of control charts. He was clear that it is generally desirable for *everyone* in an organ | *B J:* The answer is absolutely yes. The question is: how widely? We know, for example, from the Francis enquiry into Mid-Staffordshire *(see pages 23--24)*, th",TRUE
"DemDim example",NA,NA,10,"prose","!Table One — blank (left) and filled in with the DemDim example (right) | !Table Two — blank (left) and filled in with the DemDim example (right) | !Table Three — blank (left) and filled in with the DemDim example (right)",TRUE
"Deming Institute",NA,NA,10,"prose","WEDI (The W Edwards Deming Institute) (USA): | After Japan faced the repeated wrath of the tsunamis and earthquakes in 2011, they managed to resurrect themselves remarkably quickly. A note was sent from the  | Worldwide, the W Edwards Deming Institute (WEDI) in America is the obvious initial source. The Institute was founded by Dr Deming just before his death in 1993 ",TRUE
"false alarms",NA,NA,10,"prose","Firstly I'll look at the possibility of ""false alarms"", i.e. signals that a special cause exists when in fact the process has remained stable. False alarms can  | ### (A) How often will false alarms occur when the control chart is being used ""live""? | With the assumptions made in the simulation study, and with the variety of baseline lengths as shown, here are the percentages of false alarms (i.e. signals tha",TRUE
"First defined",NA,NA,10,"prose","A short, alphabetical reference for the course's most-recurring specialised terms. Definitions are taken verbatim from Neave's prose (or from a Deming quote tha | First defined in context: Day 1, ""The Deming story"". | First defined in context: Day 11, ""Theory of Knowledge — Operational Definitions"".",TRUE
"General Motors",NA,NA,10,"prose","During one of his seminars at General Motors in Michigan, Deming came out with such a ""startling"" statement about pay. It was: | In *The Deming of America* video, he repeated those exact words. This certainly startled Priscilla Petty, his interviewer! Deming then recalled that occasion at | > [""Sure you have to have enough to live on, and to live right. Beyond that, pay is not a motivator. Remember Norb Keller's statement which I think is famous. O",TRUE
"horizontal axis",NA,NA,10,"prose","But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s | In my introduction, I've already told you one of the extraordinary things about the normal distribution: i.e. that, although the curve gives the visual *impress | My great friend Don Wheeler (from whom I've learned so much over the years) told me about a family of probability distributions that was studied by Irving W Bur",TRUE
"interpreting control",NA,NA,10,"prose","If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Spr | On Days 2 and 3 and during parts of both of the projects, the emphasis was on understanding variation and why that is useful, and the role it plays in the impro | I hope you will have found it helpful to gain that additional experience of constructing and interpreting control charts. However, to be fair, Funnel Experiment",TRUE
"interpreting control charts",NA,NA,10,"prose","If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Spr | On Days 2 and 3 and during parts of both of the projects, the emphasis was on understanding variation and why that is useful, and the role it plays in the impro | I hope you will have found it helpful to gain that additional experience of constructing and interpreting control charts. However, to be fair, Funnel Experiment",TRUE
"Motor Company",NA,NA,10,"prose","Here is one more very famous Japanese invention, in this case originating in the Toyota Motor Company. Americans named it ""Just in Time"" because they did not un | When he went to work the following day, he told his trusted aides, Taichi Ohno and Shiego Shengo, what had happened. They were puzzled. ""What do you want us to  | Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a",TRUE
"new philosophy",NA,NA,10,"prose","## Point 2. The new philosophy | **Adopt the new philosophy. We are in a new economic age,** created in Japan. We can no longer live with commonly accepted levels of delays, mistakes, defective | This is a whole new philosophy. It's not just optional add-ons to what we are already doing; it's not the use of a few new tools. At the beginning of the course",TRUE
"outside specifications",NA,NA,10,"prose","Now, if a process having ""six-sigma"" quality is properly centred, the relevant figure from the table is the final one, the 0.000000000987—except that there are  | So instead, the mathematical ""truth"" enthusiasts let the process mean (and thus the whole normal distribution) wander from its ideal central position. By how mu | I'll just quote a few figures. First, actually now having a ""six-sigma"" process *properly centred*. Recall that the normal distribution tells us that then there",TRUE
"Peter Scholtes's diagram",NA,NA,10,"prose","After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give y | I liked it! Three succinctly-expressed major foundations of Dr Deming's work, and displayed in a simple diagrammatical form which also clearly broadcasts the me | Second, you have now seen three short introductions to the System of Profound Knowledge: Peter Scholtes's diagram, the introduction in *DemDim* Chapter 18, and ",TRUE
