"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed","approved_fr","decision","reviewer_notes"
"bar times tfrac",,,7,"prose","$$ \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac \quad\text \quad \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac . $$ | $$ \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac . $$ | $$ \begin \bar &= 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac = 0.800, \\ \bar &= 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac = 0.930, \\ \bar &",TRUE,,,
"barriers between",,,7,"prose","The strong link here is wholly obvious. But note the implications concerning management style. Anything (and there is often much) that management does to erect  | The three items under ""Operational Definitions"" also have some interesting contributions to make. Item 7 is particularly important with reference to Point 9: ""B | **Break down barriers between departments and staff areas.** People in different areas, such as Research, Design, Sales, Administration, and Production, must wo",TRUE,,,
"begin mathrm",,,7,"prose","$$\begin \mathrm (3 \text ) &= \mathrm (\text six on the second die \emph six on the third die}) \\ &= \mathrm (\text ) . \mathrm (\text ) . \mathrm (\text ) \\ | $$\begin \mathrm [XY] &= \sum xy \cdot \mathrm (X = x \text Y = y) \\ &= x_1 y_1 \cdot \mathrm (X = x_1 \text Y = y_1) + x_1 y_2 \cdot \mathrm (X = x_1 \text Y  | $$\begin &\mathrm [X+Y] = \mathrm [X] + \mathrm [Y]; \qquad \mathrm [X-Y] = \mathrm [X] - \mathrm [Y]; \\ &\mathrm [X^2+Y^2] = \mathrm [X^2] + \mathrm [Y^2]; \q",TRUE,,,
"best efforts",,,7,"prose","> “The world is being ruined by best efforts.” | But what could be wrong with good intentions and best efforts? Nothing—*if* (and that’s a big “if”) they are guided by genuine understanding. But if they are no | The Foreman now trains the Willing Workers. He checks and confirms that the workers are all prepared to put forth their best efforts to carry out their job as s",TRUE,,,
"Bill Scherkenbach",,,7,"prose","Practically, surely the most important conclusion of all is that, if improvement is desired (as it should surely be), it is the *system* within which the worker | However, in my early days of studying Dr Deming’s work, I also found it useful to enjoy some lighter read- ing—I am sure the relevant authors will not object to | !Mack tells the story of Gallery Furniture for the first time at a Deming seminar on 12 July 1991, Washington DC. Also participating were three of his colleague",TRUE,,,
"Bill Scherkenbach's",,,7,"prose","Rule 2 is the case where, as we know both from the Ford example and from your own work in the Major Activity, the situation is undesirable compared with Rule 1, | On page 2 Dr Deming claimed that, if we mix up the two types of variation, ""we only make things worse. This is easy to prove."" So let's prove it! Here is a well | !Mack tells the story of Gallery Furniture for the first time at a Deming seminar on 12 July 1991, Washington DC. Also participating were three of his colleague",TRUE,,,
"brings us",,,7,"prose","Nevertheless, it could well be possible to see strong links between just this one aspect of Part D (let alone all the rest of it) and the need to adopt all the  | If you are mathematically inclined, you might like to use the above criterion to verify the following alarming argument. Let's consider starting with the proces | That immediately brings us back to the earlier part of Dr Deming's description of a system: [""a network of interdependent components that work together""] . Ever",TRUE,,,
"Chapter pages",,,7,"prose","There is considerable wisdom in understanding the *limitations* of figures as a vital part of maturity in the Scientific Approach—or indeed of a statistician—bu | There is considerably more on Day 12 concerning Deming's specific guidance on leadership. However, you should find *DemDim* page 335 more than ample in the curr | So now please **read *DemDim* Chapter 13 (pages 197–202): ""Joy in Work""**.",TRUE,,,
"Chief Inspector",,,7,"prose","After the delegates returned from their coffee-break on the Wednesday morning, Dr Deming briefly introduced the experiment. Then there was some pleasant humour  | 10 VACANCIES (educational requirements minimal) 1 RECORDER — able to write neatly and to perform simple arithmetic 1 CHIEF INSPECTOR — able to compare figures a | The Foreman then takes the paddle over to the Inspection Department, so that both the junior inspectors and the Chief Inspector can learn their jobs. Inspection",TRUE,,,
"come together",,,7,"prose","As a consequence of its interconnectedness, it is important to realise that we cannot hope to understand a system by simply breaking it down into its separate c | That was the original concept of the Olympic Games. The Greeks created the Olympics for a very different purpose from ""one winner"". They had travelled far and w | As far as I know, the Quality Circle movement originated in Japan around 1962. Some companies started to encourage informal groups who, during their breaks and ",TRUE,,,
"computed using",,,7,"prose","[] In this sort of case, the sample mean cannot really do a very good job of genuinely reflecting the typical kind of values being recorded: it will still be a  | The control limits (coloured blue) in those charts on page 19 were computed by the moving-range method (in both cases using all of the 24 data-points included o | Two charts side by side: Chart A1 (a stable process) and Chart A2 (an out-of-control process), each shown with control limits drawn in **magenta** — computed us",TRUE,,,
"computing control",,,7,"prose","There is still more good news to come! The almost universally accepted way of computing control limits for control charts based on a-few-at-a-time data, i.e. us | As you know by now, I have always been quite keen on using computer simulation studies when faced with problems that are difficult or impossible to solve just b | Further, during Technical Aid 1 on , my introduction to that method for computing control limits was as follows (slightly paraphrased):",TRUE,,,
"computing control limits",,,7,"prose","There is still more good news to come! The almost universally accepted way of computing control limits for control charts based on a-few-at-a-time data, i.e. us | As you know by now, I have always been quite keen on using computer simulation studies when faced with problems that are difficult or impossible to solve just b | Further, during Technical Aid 1 on , my introduction to that method for computing control limits was as follows (slightly paraphrased):",TRUE,,,
